panorama_file_name,latitude[deg],longitude[deg]
TMX7316010203-003044_pano_0000_000000,52.3676759014295,4.8959871220306
TMX7316010203-003044_pano_0000_000001,52.3677007472315,4.89604342182544
TMX7316010203-003044_pano_0000_000002,52.3677107975463,4.89611353702731
TMX7316010203-003044_pano_0000_000003,52.3677161594591,4.89618591902139
TMX7316010203-003044_pano_0000_000004,52.3677210125728,4.89625846737802
TMX7316010203-003044_pano_0000_000005,52.3677254354144,4.89633228560192
TMX7316010203-003044_pano_0000_000006,52.36773011795,4.89640612774095
TMX7316010203-003044_pano_0000_000007,52.3677347261617,4.89647946950673
TMX7316010203-003044_pano_0000_000008,52.3677391275385,4.89655307489866
TMX7316010203-003044_pano_0000_000009,52.3677433611273,4.89662636772325
TMX7316010203-003044_pano_0000_000010,52.3677472377916,4.89669965949815
TMX7316010203-003044_pano_0000_000011,52.367750656543,4.89677319994829
TMX7316010203-003044_pano_0000_000012,52.3677534941515,4.89684673713816
TMX7316010203-003044_pano_0000_000013,52.3677565204855,4.896919864377
TMX7316010203-003044_pano_0000_000014,52.3677596263928,4.8969928321466
TMX7316010203-003044_pano_0000_000015,52.3677704448576,4.89706342479414
TMX7316010203-003044_pano_0000_000016,52.3677990825271,4.89711716122397
TMX7316010203-003044_pano_0000_000017,52.367836355256,4.89715228724654
TMX7316010203-003044_pano_0000_000018,52.3678754285494,4.8971868888899
TMX7316010203-003044_pano_0000_000019,52.3679152312147,4.89722206905147
TMX7316010203-003044_pano_0000_000020,52.367955059875,4.8972583015889
TMX7316010203-003044_pano_0000_000021,52.3679942212454,4.89729560703103
TMX7316010203-003044_pano_0000_000022,52.3680339740929,4.8973349991191
TMX7316010203-003044_pano_0000_000023,52.3680743182065,4.89737392054292
TMX7316010203-003044_pano_0000_000024,52.3681172772009,4.89741138022665
TMX7316010203-003044_pano_0000_000025,52.3681587546875,4.89745035188019
TMX7316010203-003044_pano_0000_000026,52.3682019233142,4.89749136054985
TMX7316010203-003044_pano_0000_000027,52.3682453908303,4.89752813322567
TMX7316010203-003044_pano_0000_000028,52.368288753378,4.89756760177795
TMX7316010203-003044_pano_0000_000029,52.368331551189,4.89760428478256
TMX7316010203-003044_pano_0000_000030,52.3683731117775,4.89764079182347
TMX7316010203-003044_pano_0000_000031,52.3684138572254,4.89767812422188
TMX7316010203-003044_pano_0000_000032,52.3684542791411,4.89771585626408
TMX7316010203-003044_pano_0000_000033,52.3684945755782,4.89775457768791
TMX7316010203-003044_pano_0000_000034,52.368534808369,4.89779183189039
TMX7316010203-003044_pano_0000_000035,52.3685744948255,4.8978278971194
TMX7316010203-003044_pano_0000_000036,52.3686142799546,4.89786414596089
TMX7316010203-003044_pano_0000_000037,52.3686537885326,4.89790018782253
TMX7316010203-003044_pano_0000_000038,52.3686925217354,4.89793728947087
TMX7316010203-003044_pano_0000_000039,52.3687317119701,4.89797304436343
TMX7316010203-003044_pano_0000_000040,52.3687708227621,4.89800777852127
TMX7316010203-003044_pano_0000_000041,52.3688093800496,4.89804092460592
TMX7316010203-003044_pano_0000_000042,52.3688456612807,4.89806718375991
TMX7316010203-003044_pano_0000_000043,52.3688816500369,4.89810021736575
TMX7316010203-003044_pano_0000_000044,52.3689183157617,4.89813672399125
TMX7316010203-003044_pano_0000_000045,52.3689572670765,4.89817363548734
TMX7316010203-003044_pano_0000_000046,52.3689969925142,4.89821311020045
TMX7316010203-003044_pano_0000_000047,52.3690379673069,4.89825204732464
TMX7316010203-003044_pano_0000_000048,52.3690775808962,4.89829170771333
TMX7316010203-003044_pano_0000_000049,52.3691171380797,4.89832991622064
TMX7316010203-003044_pano_0000_000050,52.3691564787321,4.8983691519191
TMX7316010203-003044_pano_0000_000051,52.36919625147,4.89840678840743
TMX7316010203-003044_pano_0000_000052,52.3692358228255,4.89844479884592
TMX7316010203-003044_pano_0000_000053,52.3692754610827,4.89848287881096
TMX7316010203-003044_pano_0000_000054,52.3693151243026,4.89852032492519
TMX7316010203-003044_pano_0000_000055,52.3693544158652,4.89855697323893
TMX7316010203-003044_pano_0000_000056,52.3693929297064,4.89859345613554
TMX7316010203-003044_pano_0000_000057,52.3694315387491,4.89862978047424
TMX7316010203-003044_pano_0000_000058,52.3694697473073,4.89866355036074
TMX7316010203-003044_pano_0000_000059,52.3695068887938,4.89869803059992
TMX7316010203-003044_pano_0000_000060,52.3695480842069,4.89874003561065
TMX7316010203-003044_pano_0000_000061,52.3695932427505,4.89878248404466
TMX7316010203-003044_pano_0000_000062,52.369633774266,4.89881991100091
TMX7316010203-003044_pano_0000_000063,52.3696616255988,4.89887708482857
TMX7316010203-003044_pano_0000_000064,52.3696655610398,4.89894770826508
TMX7316010203-003044_pano_0000_000065,52.3696575962634,4.89901900214975
TMX7316010203-003044_pano_0000_000066,52.3696473400548,4.89908938947033
TMX7316010203-003044_pano_0000_000067,52.3696372114716,4.899159675534
TMX7316010203-003044_pano_0000_000068,52.3696258012727,4.89923035054389
TMX7316010203-003044_pano_0000_000069,52.3696126416252,4.89930034270569
